,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T381,Kel'el Ware,MIA,C,8,5.9,2.3,1.1,0.0,0.3,0.5,0.3,42.1,0.0,0.4,0.8,33.3,1.0,2.4,0.0,0.0,0.0,0.0,0.8,5.5
T381,Tyrese Martin,BKN,F,4,5.3,2.3,0.5,0.0,0.0,0.0,0.8,42.9,0.0,0.3,1.5,50.0,0.8,1.8,0.0,0.0,0.0,0.0,0.0,2.6
T381,Nate Williams,HOU,G,3,3.3,2.3,1.0,0.0,0.3,0.0,0.3,75.0,0.0,0.0,0.7,50.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,4.5
T381,Hunter Tyson,DEN,F,8,9.9,2.3,1.6,0.5,0.3,0.1,0.1,43.8,100.0,0.4,1.1,11.1,0.9,2.0,0.4,0.4,0.0,0.0,1.4,5.7
T381,Maxi Kleber,DAL,C,6,15.2,2.3,2.8,0.5,0.0,0.5,0.2,54.5,50.0,0.5,0.5,33.3,1.0,1.8,0.2,0.3,0.0,0.0,1.7,7.5
T381,Dillon Jones,OKC,F,15,8.4,2.3,2.1,0.7,0.2,0.1,0.3,34.1,50.0,0.5,1.5,17.4,0.9,2.7,0.2,0.4,0.0,0.0,1.1,6.3
T381,Vlatko Cancar,DEN,F,4,8.5,2.3,2.0,0.0,0.0,0.3,0.3,57.1,0.0,0.5,0.5,50.0,1.0,1.8,0.0,0.0,0.0,0.0,1.0,4.9
T381,Johnny Furphy,IND,F,7,8.6,2.3,1.0,0.1,0.1,0.1,0.1,35.3,100.0,0.7,1.0,14.3,0.9,2.4,0.4,0.4,0.0,0.0,0.4,3.8
T389,Jevon Carter,CHI,G,6,6.0,2.2,0.8,0.7,0.5,0.0,0.5,29.4,0.0,0.2,1.8,27.3,0.8,2.8,0.0,0.0,0.0,0.0,0.2,5.5
T389,Kobe Brown,LAC,F,5,5.6,2.2,2.4,0.4,0.2,0.0,0.0,35.7,50.0,0.0,0.8,0.0,1.0,2.8,0.2,0.4,0.0,0.0,0.4,6.3
T391,Kai Jones,LAC,C,11,8.2,2.1,1.9,0.3,0.0,0.6,0.0,71.4,60.0,0.5,0.0,0.0,0.9,1.3,0.3,0.5,0.0,0.0,0.8,6.2
T391,Patrick Baldwin,WAS,F,9,5.1,2.1,0.9,0.1,0.2,0.1,0.3,41.2,50.0,0.1,1.0,33.3,0.8,1.9,0.2,0.4,0.0,0.0,0.4,4.2
T391,Jericho Sims,NYK,C,15,13.8,2.1,4.3,0.7,0.1,0.4,0.0,75.0,33.3,0.5,0.0,0.0,1.0,1.3,0.1,0.2,0.0,0.0,1.6,9.3
T394,Luke Travers,CLE,F,4,9.8,2.0,1.5,1.3,0.3,0.3,0.0,42.9,100.0,0.5,0.8,0.0,0.8,1.8,0.5,0.5,0.0,0.0,0.8,6.7
T394,Adama Sanogo,CHI,C,3,4.3,2.0,0.7,0.3,0.0,0.0,0.0,60.0,0.0,0.3,0.0,0.0,1.0,1.7,0.0,0.0,0.0,0.0,0.3,3.0
T394,Luka Garza,MIN,C,4,4.3,2.0,1.3,0.0,0.0,0.0,0.0,36.4,0.0,0.5,1.0,0.0,1.0,2.8,0.0,0.3,0.0,0.0,0.3,3.0
T394,Jeff Green,HOU,F,6,5.2,2.0,0.5,0.2,0.3,0.0,0.3,50.0,0.0,0.3,1.2,28.6,0.8,1.7,0.0,0.0,0.0,0.0,0.3,3.5
T394,Rob Dillingham,MIN,G,7,5.3,2.0,0.4,1.0,0.0,0.0,0.3,54.5,0.0,0.9,0.4,66.7,0.9,1.6,0.0,0.0,0.0,0.0,0.1,3.2
T394,Alex Reese,FA,F,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2
T394,Alex Len,SAC,C,12,8.8,2.0,2.5,0.8,0.2,0.9,0.0,61.1,50.0,0.5,0.3,0.0,0.9,1.5,0.2,0.3,0.0,0.0,1.2,9.0
T394,Ulrich Chomche,TOR,C,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2
T394,KJ Simpson,CHA,G,1,7.0,2.0,3.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.1
T394,Jeff Dowtin,PHI,G,8,10.1,2.0,1.0,1.1,0.4,0.0,0.1,31.6,75.0,0.1,1.0,12.5,0.8,2.4,0.4,0.5,0.0,0.0,0.6,5.9
T404,Enrique Freeman,IND,F,8,10.3,1.9,1.1,0.6,0.3,0.1,0.1,38.5,100.0,0.4,0.5,25.0,0.6,1.6,0.5,0.5,0.0,0.0,1.6,4.9
T404,Anthony Gill,WAS,F,9,4.4,1.9,0.8,0.3,0.2,0.0,0.2,63.6,25.0,0.1,0.3,66.7,0.8,1.2,0.1,0.4,0.0,0.0,0.2,3.9
T404,Dwight Powell,DAL,C,13,8.9,1.9,2.0,0.7,0.4,0.5,0.0,75.0,72.2,0.4,0.0,0.0,0.5,0.6,1.0,1.4,0.0,0.0,1.6,7.7
407,Olivier-Maxence Prosper,DAL,F,9,6.1,1.8,1.4,0.0,0.1,0.0,0.0,38.9,66.7,0.1,0.3,0.0,0.8,2.0,0.2,0.3,0.0,0.0,0.7,3.7
T408,Zeke Nnaji,DEN,C,9,6.2,1.7,0.8,0.3,0.1,0.2,0.0,46.7,25.0,0.1,0.7,0.0,0.8,1.7,0.1,0.4,0.0,0.0,0.4,4.0
T408,MarJon Beauchamp,MIL,F,9,3.2,1.7,0.8,0.1,0.1,0.0,0.1,33.3,100.0,0.8,0.8,14.3,0.6,1.7,0.4,0.4,0.0,0.0,0.3,2.3
T410,Jazian Gortman,DAL,G,2,2.0,1.5,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.5,0.5,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
T410,Lester Quinones,PHI,G,2,2.5,1.5,1.5,0.5,0.0,0.0,0.0,50.0,100.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,4.1
T410,Trevelin Queen,ORL,G,2,2.5,1.5,0.0,0.0,0.0,0.0,0.5,33.3,0.0,0.5,0.5,100.0,0.5,1.5,0.0,0.0,0.0,0.0,0.5,1.0
T410,Xavier Tillman,BOS,F,10,9.4,1.5,2.0,0.6,0.3,0.0,0.3,26.1,0.0,0.3,1.4,21.4,0.6,2.3,0.0,0.0,0.0,0.0,0.6,5.4
T410,Adam Flagler,OKC,G,8,3.3,1.5,0.5,0.0,0.3,0.0,0.5,30.8,0.0,0.0,1.5,33.3,0.5,1.6,0.0,0.0,0.0,0.0,0.5,2.9
T410,Jaylen Martin,BKN,F,2,1.5,1.5,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.5,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
T410,Josh Minott,MIN,F,6,7.0,1.5,0.7,0.2,0.0,0.3,0.0,50.0,50.0,0.5,0.7,0.0,0.7,1.3,0.2,0.3,0.0,0.0,1.3,3.1
T417,Nick Smith,CHA,G,5,4.6,1.4,0.2,0.2,0.2,0.0,0.2,30.0,0.0,0.2,1.0,20.0,0.6,2.0,0.0,0.0,0.0,0.0,0.2,2.3
T417,Isaac Jones,SAC,C,7,3.4,1.4,0.4,0.0,0.0,0.1,0.0,66.7,100.0,0.3,0.0,0.0,0.6,0.9,0.3,0.3,0.0,0.0,0.9,2.1
T419,Ariel Hukporti,NYK,C,7,9.7,1.3,2.0,0.4,0.0,1.1,0.0,50.0,50.0,1.0,0.0,0.0,0.6,1.1,0.1,0.3,0.0,0.0,1.6,6.8
T419,Liam Robbins,MIL,C,4,4.5,1.3,0.8,0.0,0.0,0.0,0.0,66.7,25.0,0.0,0.3,0.0,0.5,0.8,0.3,1.0,0.0,0.0,0.8,2.2
T419,Jordan Walsh,BOS,F,12,9.0,1.3,1.0,0.3,0.3,0.3,0.3,30.0,0.0,0.2,1.3,25.0,0.5,1.7,0.0,0.1,0.0,0.0,0.8,4.5
T419,Pat Spencer,GSW,G,3,1.3,1.3,0.0,0.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,1.8
T419,Baylor Scheierman,BOS,G,3,6.0,1.3,1.3,0.0,0.0,0.0,0.0,16.7,100.0,0.0,1.3,0.0,0.3,2.0,0.7,0.7,0.0,0.0,0.7,2.9
T419,James Johnson,IND,F,3,3.3,1.3,0.7,0.7,0.0,0.3,0.0,50.0,0.0,1.0,0.3,0.0,0.7,1.3,0.0,0.0,0.0,0.0,0.0,3.1
T425,Brandon Williams,DAL,G,5,4.4,1.2,0.8,0.4,0.0,0.0,0.0,22.2,66.7,0.4,0.4,0.0,0.4,1.8,0.4,0.6,0.0,0.0,0.4,2.4
T425,Cory Joseph,ORL,G,10,3.5,1.2,0.8,0.7,0.1,0.2,0.4,28.6,0.0,0.1,1.1,36.4,0.4,1.4,0.0,0.0,0.0,0.0,0.3,4.0
T427,Adem Bona,PHI,C,10,3.4,1.1,1.3,0.0,0.0,0.3,0.0,83.3,100.0,0.2,0.0,0.0,0.5,0.6,0.1,0.1,0.0,0.0,0.5,3.4
T427,Duop Reath,POR,C,7,4.0,1.1,0.6,0.3,0.0,0.1,0.3,23.1,0.0,0.1,1.3,22.2,0.4,1.9,0.0,0.0,0.0,0.0,0.4,2.5
T429,Mouhamed Gueye,ATL,C,2,5.5,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.5,1.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.7
T429,JD Davison,BOS,G,3,5.0,1.0,0.3,0.3,0.3,0.0,0.0,25.0,50.0,1.3,0.7,0.0,0.3,1.3,0.3,0.7,0.0,0.0,0.3,1.6
T429,Gui Santos,GSW,F,6,3.8,1.0,1.0,0.3,0.0,0.0,0.2,40.0,50.0,0.3,0.5,33.3,0.3,0.8,0.2,0.3,0.0,0.0,0.5,2.4
T429,Terrence Shannon,MIN,F,4,3.8,1.0,0.0,0.5,0.5,0.3,0.0,66.7,0.0,0.5,0.3,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,3.5
T429,P.J. Dozier,MIN,F,4,3.8,1.0,0.8,0.5,0.3,0.0,0.3,50.0,50.0,0.0,0.5,50.0,0.3,0.5,0.3,0.5,0.0,0.0,0.5,3.4
T429,Karlo Matkovic,NOP,F,4,7.5,1.0,2.3,0.0,0.5,0.5,0.0,66.7,0.0,1.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,1.0,5.7
T429,Jared Rhoden,CHA,F,4,3.0,1.0,1.0,0.5,0.3,0.0,0.0,25.0,0.0,0.3,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.3,3.5
T429,Reece Beekman,GSW,G,2,2.0,1.0,0.5,0.5,0.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,3.9
T429,Markieff Morris,DAL,C,2,5.0,1.0,2.0,1.0,0.0,0.0,0.0,16.7,0.0,0.0,1.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,4.9
T429,Garrett Temple,TOR,G,5,4.6,1.0,0.8,1.0,0.6,0.2,0.2,40.0,0.0,0.2,0.4,50.0,0.4,1.0,0.0,0.0,0.0,0.0,1.2,5.7
T429,Jack McVeigh,HOU,F,5,3.6,1.0,0.4,0.0,0.0,0.2,0.2,22.2,0.0,0.2,1.2,16.7,0.4,1.8,0.0,0.0,0.0,0.0,0.2,1.9
440,Yuki Kawamura,MEM,G,9,2.9,0.9,0.2,0.7,0.0,0.0,0.1,18.2,75.0,0.3,0.9,12.5,0.2,1.2,0.3,0.4,0.0,0.0,0.1,1.8
T441,Caleb Houstan,ORL,F,10,4.5,0.8,0.7,0.0,0.0,0.1,0.2,23.1,0.0,0.0,1.0,20.0,0.3,1.3,0.0,0.0,0.0,0.0,0.6,1.9
T441,Stanley Umude,MIL,G,4,3.8,0.8,0.8,0.3,0.0,0.3,0.3,33.3,0.0,0.0,0.8,33.3,0.3,0.8,0.0,0.5,0.0,0.0,0.0,2.8
T441,Jaden Springer,BOS,G,4,4.3,0.8,1.0,0.3,0.5,0.0,0.0,20.0,50.0,0.3,0.5,0.0,0.3,1.3,0.3,0.5,0.0,0.0,0.3,3.6
T441,D.J. Carton,TOR,G,4,8.3,0.8,1.0,0.8,0.5,0.0,0.0,14.3,100.0,1.0,0.8,0.0,0.3,1.8,0.3,0.3,0.0,0.0,0.3,3.6
T441,Matt Ryan,NYK,F,4,5.8,0.8,0.0,0.0,0.0,0.0,0.3,16.7,0.0,0.0,1.0,25.0,0.3,1.5,0.0,0.0,0.0,0.0,0.0,0.8
T446,Colin Castleton,MEM,C,6,2.3,0.7,0.8,0.0,0.0,0.2,0.0,0.0,100.0,0.0,0.2,0.0,0.0,0.2,0.7,0.7,0.0,0.0,0.3,2.2
T446,Bronny James,LAL,G,6,2.7,0.7,0.2,0.3,0.2,0.0,0.0,16.7,100.0,0.0,0.7,0.0,0.2,1.0,0.3,0.3,0.0,0.0,0.3,1.9
T446,Sidy Cissoko,SAS,G,7,2.7,0.7,0.9,0.6,0.0,0.0,0.1,50.0,0.0,0.1,0.1,100.0,0.3,0.6,0.0,0.3,0.0,0.0,0.6,2.5
T446,Colby Jones,SAC,G,7,2.1,0.7,0.4,0.1,0.0,0.1,0.1,66.7,0.0,0.3,0.1,100.0,0.3,0.4,0.0,0.0,0.0,0.0,0.3,1.6
T450,Jalen Bridges,PHO,F,2,5.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.1
T450,AJ Johnson,MIL,G,4,2.0,0.5,0.3,0.3,0.0,0.0,0.0,33.3,0.0,0.3,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.9
T450,Trey Alexander,DEN,G,4,4.0,0.5,0.3,0.3,0.0,0.0,0.0,16.7,0.0,0.0,0.5,0.0,0.3,1.5,0.0,0.0,0.0,0.0,0.3,1.2
T450,Dominick Barlow,ATL,C,2,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5
454,Jacob Toppin,NYK,F,5,3.0,0.4,0.4,0.4,0.0,0.0,0.0,50.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.5
T455,Yongxi Cui,BKN,G,3,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3
T455,Malevy Leons,FA,F,6,3.3,0.3,0.5,0.2,0.0,0.0,0.0,0.0,50.0,0.2,0.2,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.7,1.0
T457,Daniss Jenkins,DET,G,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
T457,Justin Champagnie,WAS,F,2,2.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0
T457,Mason Jones,SAC,G,3,4.0,0.0,1.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,5.1
T457,Joe Ingles,MIN,F,7,3.9,0.0,0.3,1.3,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,2.1
T457,Spencer Jones,DEN,F,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
T457,Riley Minix,SAS,F,1,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4
T457,Armel Traore,LAL,F,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2
T457,Cam Spencer,MEM,G,1,9.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.2
T457,Alex Ducas,OKC,G,4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
T457,PJ Hall,DEN,C,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T457,Jalen Pickett,DEN,G,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
T457,Dariq Whitehead,BKN,F,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
T457,Maxwell Lewis,LAL,F,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
T457,Jalen Hood-Schifino,LAL,G,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T457,Chris Livingston,MIL,F,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T457,Drew Peterson,BOS,F,3,2.7,0.0,0.3,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.6
T457,Tristen Newton,IND,G,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T457,Harrison Ingram,SAS,F,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2
T457,E.J. Liddell,CHI,F,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T457,Kessler Edwards,DAL,F,3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,-0.3
T457,Mac McClung,ORL,G,1,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
