,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T190,Toumani Camara,POR,F,15,31.8,9.1,5.3,2.2,1.7,0.3,1.5,43.9,73.7,1.8,3.5,41.5,3.3,7.6,0.9,1.3,0.0,0.0,3.0,23.1
T190,Naji Marshall,DAL,F,15,23.5,9.1,3.4,2.9,1.2,0.1,0.3,50.9,96.0,1.2,2.0,13.3,3.6,7.1,1.6,1.7,0.0,0.0,1.6,20.2
T190,Draymond Green,GSW,C,14,28.1,9.1,5.9,5.7,1.1,1.1,1.5,45.1,68.6,2.1,3.5,42.9,2.9,6.5,1.7,2.5,0.1,0.0,3.4,29.0
T190,Jalen Duren,DET,C,14,24.9,9.1,10.5,2.7,0.3,1.1,0.0,75.0,51.4,1.7,0.0,0.0,3.9,5.1,1.4,2.6,0.4,0.0,3.3,28.3
T195,Isaiah Joe,OKC,G,14,22.2,9.0,3.1,1.7,0.7,0.3,2.3,40.7,75.0,0.3,6.3,36.4,3.1,7.7,0.4,0.6,0.0,0.0,2.0,18.1
T195,Anthony Black,ORL,G,16,25.1,9.0,2.8,4.5,0.9,0.9,0.8,42.6,71.7,2.3,2.6,31.7,3.1,7.2,2.1,2.9,0.0,0.0,2.3,22.3
T197,Jake LaRavia,MEM,F,16,24.9,8.9,5.2,3.8,0.9,0.8,0.9,49.5,67.5,1.4,2.3,40.5,3.1,6.3,1.7,2.5,0.1,0.0,2.4,24.5
T197,Jusuf Nurkic,PHO,C,14,24.3,8.9,10.0,1.2,1.0,0.6,0.9,40.4,65.3,2.6,3.1,30.2,2.9,7.1,2.3,3.5,0.4,0.0,2.9,25.1
T197,Jaime Jaquez,MIA,F,9,23.0,8.9,6.0,2.8,1.1,0.1,0.8,42.5,57.9,1.8,2.0,38.9,3.4,8.1,1.2,2.1,0.0,0.0,2.0,22.1
T200,Nickeil Alexander-Walker,MIN,G,14,23.6,8.8,2.6,2.6,1.0,0.4,1.6,52.9,71.4,1.5,3.4,47.9,3.2,6.1,0.7,1.0,0.0,0.0,1.1,18.4
T200,Moses Moody,GSW,F,14,16.4,8.8,2.2,1.0,0.3,0.2,1.6,46.7,69.6,1.1,3.9,42.6,3.0,6.4,1.1,1.6,0.0,0.0,1.2,13.4
T202,Georges Niang,CLE,F,17,20.1,8.7,3.5,1.2,0.5,0.2,1.8,48.3,80.0,0.9,4.6,38.0,3.4,6.9,0.2,0.3,0.0,0.0,2.3,15.9
T202,Cody Martin,CHA,G,14,24.4,8.7,4.4,2.0,1.0,0.6,1.4,45.8,68.2,1.1,3.4,40.4,3.1,6.9,1.1,1.6,0.0,0.0,1.9,20.7
T204,Dereck Lively,DAL,C,11,22.3,8.6,6.8,2.3,0.6,1.5,0.0,69.0,53.6,1.2,0.0,0.0,3.6,5.3,1.4,2.5,0.2,0.0,3.1,25.3
T204,Nic Claxton,BKN,C,11,24.7,8.6,7.7,2.5,0.5,1.2,0.0,65.1,46.4,1.0,0.0,0.0,3.7,5.7,1.2,2.5,0.3,0.0,2.5,25.9
T204,Kyshawn George,WAS,F,13,27.9,8.6,4.2,3.0,0.8,0.9,1.5,34.8,70.0,0.8,5.7,27.0,3.0,8.6,1.1,1.5,0.0,0.0,3.4,22.6
