,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T139,Josh Giddey,CHI,G,90,24.3,11.9,6.1,4.5,0.6,0.5,1.0,47.3,81.1,2.0,3.1,33.9,4.8,10.2,1.2,1.5,0.1,0.0,1.3,27.4
T141,Nic Claxton,BKN,C,71,29.8,11.8,9.9,2.1,0.6,2.1,0.0,62.9,55.1,1.3,0.1,20.0,5.2,8.2,1.5,2.8,0.4,0.0,2.5,33.7
T141,Max Strus,CLE,F,82,32.6,11.8,4.9,3.9,0.9,0.4,2.4,41.6,80.4,1.5,6.7,35.0,4.2,10.1,1.0,1.2,0.1,0.0,2.6,25.7
T143,Buddy Hield,GSW,G,89,25.0,11.7,3.1,2.7,0.8,0.5,2.5,43.5,88.5,1.2,6.6,38.6,4.3,9.8,0.6,0.7,0.0,0.0,1.9,22.1
T143,Marvin Bagley,WAS,C,50,21.0,11.7,6.2,1.1,0.4,0.7,0.2,58.6,76.2,1.2,0.5,39.1,4.8,8.2,1.9,2.5,0.2,0.0,1.6,22.8
T145,Jeremy Sochan,SAS,F,74,29.6,11.6,6.4,3.4,0.8,0.5,0.9,43.8,77.1,1.9,3.1,30.8,4.6,10.5,1.5,1.9,0.1,0.0,2.3,26.6
T145,Clint Capela,ATL,C,74,25.9,11.6,10.7,1.3,0.6,1.4,0.0,57.5,63.1,1.0,0.0,0.0,4.9,8.6,1.8,2.8,0.5,0.0,2.2,31.4
147,Mike Conley,MIN,G,91,29.3,11.5,3.0,5.9,1.2,0.2,2.3,45.1,87.1,1.3,5.3,43.5,3.9,8.7,1.3,1.5,0.1,0.0,1.8,26.8
148,Brandon Clarke,MEM,C,6,22.3,11.3,5.3,1.5,0.8,1.0,0.2,55.9,14.3,0.5,1.0,16.7,5.5,9.8,0.2,1.2,0.0,0.0,1.3,25.0
149,Zach Collins,SAS,C,69,22.1,11.2,5.4,2.8,0.5,0.8,0.8,48.4,75.3,1.9,2.6,32.0,4.3,8.9,1.8,2.3,0.0,0.0,3.0,23.8
T150,Jakob Poeltl,TOR,C,50,26.4,11.1,8.6,2.5,0.7,1.5,0.0,65.6,55.1,1.5,0.0,0.0,5.0,7.6,1.2,2.1,0.4,0.0,3.0,30.3
T150,Malik Beasley,DET,G,85,29.0,11.1,3.6,1.3,0.7,0.1,2.8,44.7,71.4,0.7,6.7,41.4,4.0,9.0,0.3,0.4,0.0,0.0,2.0,19.2
T150,Cole Anthony,ORL,G,88,21.8,11.1,3.7,2.8,0.8,0.4,1.1,42.9,82.8,1.5,3.3,33.0,3.9,9.1,2.1,2.6,0.0,0.0,2.2,21.8
T153,Herbert Jones,NOP,F,82,30.7,11.0,3.6,2.6,1.4,0.8,1.5,49.3,86.6,1.3,3.7,41.3,3.8,7.8,1.8,2.1,0.0,0.0,3.0,24.4
T153,Luke Kennard,MEM,G,39,25.6,11.0,2.9,3.5,0.5,0.1,2.7,44.8,88.9,1.4,6.1,45.0,3.6,8.1,1.0,1.2,0.0,0.0,1.0,20.0
T155,Isaiah Stewart,DET,F,46,31.0,10.9,6.6,1.6,0.4,0.8,1.5,48.7,75.3,1.4,3.8,38.3,4.0,8.3,1.4,1.8,0.1,0.0,2.2,23.4
T155,Luguentz Dort,OKC,F,89,29.2,10.9,3.7,1.5,1.0,0.6,2.0,42.9,82.8,1.0,5.2,39.3,3.6,8.4,1.6,2.0,0.0,0.0,3.0,21.1
T157,Jaden McDaniels,MIN,F,88,30.0,10.8,3.2,1.4,0.9,0.7,1.3,49.3,73.7,1.2,3.5,35.4,4.3,8.7,1.0,1.3,0.0,0.0,3.1,20.2
T157,De'Anthony Melton,GSW,G,39,26.4,10.8,3.6,2.9,1.5,0.4,2.0,38.4,83.5,1.0,5.5,35.6,3.6,9.3,1.7,2.0,0.0,0.0,2.2,24.4
T157,Alec Burks,MIA,G,72,18.5,10.8,2.4,1.3,0.4,0.2,1.9,38.0,86.4,0.7,5.0,38.0,3.3,8.6,2.4,2.8,0.0,0.0,1.1,16.7
T157,Eric Gordon,PHI,G,72,27.9,10.8,1.8,2.0,1.0,0.4,2.2,43.8,80.6,1.1,5.8,37.9,3.9,9.0,0.8,1.0,0.0,0.0,1.2,19.2
T157,Jusuf Nurkic,PHO,C,80,27.3,10.8,10.9,3.9,1.1,1.1,0.3,51.0,63.2,2.3,1.2,23.9,4.2,8.2,2.2,3.4,0.4,0.0,3.4,33.9
T157,Jake LaRavia,MEM,F,35,23.1,10.8,3.7,1.7,0.8,0.3,1.5,38.9,82.6,1.3,4.5,34.0,3.4,8.7,2.6,3.1,0.1,0.0,2.0,19.9
T157,Bruce Brown,TOR,G,67,27.8,10.8,4.2,2.9,0.9,0.3,0.8,47.8,82.4,1.3,2.4,32.3,4.1,8.7,1.7,2.1,0.0,0.0,2.2,22.3
T164,Russell Westbrook,DEN,G,74,22.1,10.7,5.0,4.3,1.1,0.4,0.6,44.0,68.2,2.1,2.3,26.9,4.2,9.6,1.6,2.3,0.1,0.0,1.8,25.3
T164,Santi Aldama,MEM,F,61,26.6,10.7,5.8,2.3,0.7,0.9,1.7,43.5,62.1,1.1,5.0,34.9,4.0,9.3,0.9,1.4,0.1,0.0,1.5,24.7
166,Wendell Carter,ORL,C,62,25.7,10.6,6.9,1.7,0.6,0.5,1.1,51.3,69.7,1.2,3.2,36.2,3.9,7.6,1.6,2.3,0.1,0.0,2.3,23.6
T167,T.J. McConnell,IND,G,88,18.7,10.5,2.8,5.4,1.0,0.1,0.3,54.0,80.5,1.5,0.8,35.7,4.8,8.8,0.7,0.9,0.1,0.0,1.2,23.8
T167,Daniel Gafford,DAL,C,96,23.5,10.5,7.1,1.4,0.7,1.9,0.0,70.6,66.3,1.0,0.0,0.0,4.4,6.3,1.7,2.5,0.2,0.0,2.8,28.2
T167,Simone Fontecchio,DET,F,66,24.9,10.5,3.7,1.5,0.7,0.3,2.0,46.0,81.8,1.0,5.1,40.1,3.8,8.3,0.8,1.0,0.0,0.0,1.7,19.3
T167,Moritz Wagner,ORL,C,87,17.4,10.5,4.3,1.1,0.5,0.3,0.5,59.2,79.6,1.2,1.4,32.3,4.0,6.8,2.0,2.5,0.0,0.0,2.1,18.6
171,Obi Toppin,IND,F,99,20.9,10.4,4.0,1.6,0.5,0.5,1.2,56.7,76.8,0.8,3.1,39.5,4.1,7.2,1.0,1.3,0.0,0.0,1.7,19.8
T172,Andrew Nembhard,IND,G,85,26.5,10.3,2.3,4.4,0.8,0.1,1.1,51.4,79.3,1.5,2.7,39.0,4.3,8.3,0.8,1.0,0.0,0.0,2.3,21.1
T172,Grant Williams,CHA,F,76,28.0,10.3,4.2,2.3,0.6,0.5,1.7,45.6,75.7,1.4,4.4,37.5,3.6,8.0,1.4,1.8,0.0,0.0,3.0,20.6
T172,Dalano Banton,POR,G,54,19.4,10.3,3.3,2.4,0.6,0.4,1.1,40.4,78.3,1.4,3.7,29.6,3.7,9.3,1.7,2.2,0.0,0.0,1.2,19.3
T175,Onyeka Okongwu,ATL,C,55,25.5,10.2,6.8,1.3,0.5,1.1,0.4,61.1,79.3,0.8,1.3,33.3,4.1,6.6,1.7,2.1,0.1,0.0,2.9,24.3
T175,Kevin Huerter,SAC,G,64,24.5,10.2,3.5,2.6,0.7,0.4,1.9,44.3,76.6,0.8,5.3,36.1,3.9,8.8,0.6,0.7,0.0,0.0,2.1,20.7
T177,Josh Hart,NYK,F,94,34.6,10.1,8.8,4.1,0.9,0.4,1.1,43.5,77.3,1.6,3.4,32.2,3.8,8.8,1.3,1.7,0.3,0.1,2.3,29.1
T177,Talen Horton-Tucker,CHI,G,51,19.7,10.1,2.4,3.5,0.9,0.4,1.2,39.6,80.7,1.3,3.6,33.0,3.6,9.1,1.7,2.1,0.0,0.0,1.8,20.7
T179,Alex Caruso,OKC,G,73,28.6,10.0,3.8,3.5,1.7,1.0,1.9,46.6,76.0,1.4,4.7,40.9,3.5,7.6,1.0,1.3,0.0,0.0,2.5,26.2
T179,Vince Williams,MEM,F,52,27.7,10.0,5.6,3.4,0.9,0.7,1.5,44.6,80.0,1.8,4.0,37.8,3.3,7.3,2.0,2.5,0.1,0.0,2.6,24.7
T179,Tre Jones,SAS,G,77,27.7,10.0,3.8,6.2,1.0,0.1,0.8,50.5,85.6,1.5,2.5,33.5,3.9,7.8,1.3,1.5,0.1,0.0,1.2,25.7
T179,Caleb Martin,PHI,F,71,27.9,10.0,4.3,2.1,0.7,0.4,1.3,43.5,77.4,1.1,3.7,36.2,3.8,8.6,1.2,1.5,0.0,0.0,2.0,20.7
T179,Patrick Williams,CHI,F,43,27.3,10.0,3.9,1.5,0.9,0.8,1.4,44.3,78.8,1.3,3.4,39.9,3.7,8.3,1.2,1.5,0.0,0.0,2.0,20.7
T184,Spencer Dinwiddie,DAL,G,82,27.2,9.9,2.6,4.5,0.6,0.3,1.5,39.0,79.6,1.1,4.6,33.3,3.1,8.0,2.1,2.6,0.0,0.0,1.8,21.3
T184,Josh Richardson,MIA,G,43,25.7,9.9,2.8,2.4,0.6,0.3,1.5,44.4,94.4,0.8,4.4,34.7,3.6,8.1,1.2,1.3,0.0,0.0,1.8,18.7
T186,Tari Eason,HOU,F,22,21.8,9.8,7.0,1.2,1.4,0.9,0.8,46.6,63.6,0.9,2.3,36.0,4.0,8.6,1.0,1.5,0.1,0.0,2.3,25.9
T186,Kelly Olynyk,TOR,C,78,22.6,9.8,5.3,4.4,0.9,0.4,0.8,55.5,83.3,1.9,2.0,38.7,3.5,6.4,1.9,2.3,0.1,0.0,2.9,24.8
T186,Kentavious Caldwell-Pope,ORL,G,88,32.1,9.8,2.5,2.4,1.3,0.5,1.6,45.2,90.3,1.0,4.1,39.4,3.5,7.6,1.3,1.4,0.0,0.0,2.1,21.0
T189,Nick Richards,CHA,C,67,26.2,9.7,8.0,0.8,0.4,1.1,0.0,69.1,73.7,1.1,0.0,0.0,3.9,5.6,2.0,2.7,0.3,0.0,2.6,24.0
T189,Lonnie Walker,FA,G,58,17.5,9.7,2.2,1.3,0.6,0.3,1.8,42.3,76.3,0.9,4.7,38.4,3.6,8.5,0.8,1.0,0.0,0.0,1.2,16.1
191,Amen Thompson,HOU,G,62,22.4,9.5,6.6,2.6,1.3,0.6,0.1,53.6,68.4,1.5,0.9,13.8,3.9,7.2,1.7,2.5,0.2,0.0,2.3,25.6
T192,Tre Mann,CHA,G,41,24.2,9.3,3.6,4.0,1.2,0.1,1.1,45.9,76.3,1.6,3.1,37.3,3.5,7.7,1.1,1.4,0.0,0.0,1.2,22.1
T192,Reggie Jackson,PHI,G,94,20.6,9.3,1.8,3.4,0.5,0.1,1.2,42.5,81.0,1.2,3.3,35.8,3.6,8.6,0.9,1.1,0.0,0.0,1.7,17.3
T194,Brandin Podziemski,GSW,G,75,26.6,9.2,5.8,3.7,0.8,0.2,1.2,45.5,63.3,1.2,3.1,38.6,3.6,8.0,0.7,1.1,0.1,0.0,1.6,23.5
T194,Malaki Branham,SAS,G,75,21.2,9.2,2.0,2.1,0.3,0.1,1.2,43.2,87.3,1.2,3.6,34.7,3.6,8.4,0.7,0.8,0.0,0.0,1.3,14.8
T196,Chris Paul,SAS,G,59,26.3,9.1,3.8,6.7,1.2,0.1,1.3,44.0,82.7,1.3,3.6,37.3,3.5,8.0,0.7,0.9,0.1,0.0,1.9,26.3
T196,Duop Reath,POR,C,68,17.9,9.1,3.7,1.0,0.5,0.6,1.3,46.1,74.2,0.8,3.6,35.9,3.4,7.3,1.0,1.4,0.0,0.0,2.4,17.3
T198,Payton Pritchard,BOS,G,101,21.5,9.0,3.0,3.2,0.4,0.1,1.7,46.1,83.8,0.7,4.4,38.5,3.4,7.3,0.6,0.7,0.0,0.0,1.3,18.1
T198,Jalen Smith,CHI,C,68,16.0,9.0,5.2,1.0,0.3,0.6,0.9,58.8,68.8,0.7,2.2,42.6,3.5,5.9,1.1,1.6,0.1,0.0,1.9,18.5
200,Jabari Walker,POR,F,72,23.6,8.9,7.1,1.0,0.6,0.3,0.6,46.0,75.4,0.9,1.9,29.5,3.3,7.1,1.8,2.4,0.2,0.0,2.4,20.6
T201,Terance Mann,LAC,G,81,25.5,8.8,3.5,1.6,0.5,0.2,1.0,50.6,84.5,0.7,2.8,35.8,3.4,6.7,1.1,1.3,0.0,0.0,2.0,16.9
T201,Al Horford,BOS,C,84,27.6,8.8,6.5,2.5,0.6,0.9,1.7,50.3,80.5,0.7,4.2,40.5,3.3,6.6,0.4,0.5,0.0,0.0,1.4,24.2
T201,Taurean Prince,MIL,F,84,26.7,8.8,2.9,1.5,0.7,0.5,1.8,43.9,76.3,0.9,4.5,39.1,3.2,7.2,0.7,0.9,0.0,0.0,1.9,17.1
T201,Ausar Thompson,DET,F,63,25.1,8.8,6.4,1.9,1.1,0.9,0.3,48.3,59.7,1.3,1.8,18.6,3.7,7.6,1.1,1.9,0.0,0.0,2.8,24.1
T201,Isaac Okoro,CLE,F,81,26.6,8.8,2.8,1.8,0.8,0.5,1.1,47.3,68.5,0.8,3.1,37.2,3.2,6.8,1.2,1.8,0.0,0.0,2.1,18.0
T206,Miles McBride,NYK,G,81,20.7,8.7,1.6,1.7,0.7,0.1,1.7,44.8,85.5,0.5,4.1,40.1,3.2,7.1,0.7,0.8,0.0,0.0,1.7,15.1
T206,Georges Niang,CLE,F,92,21.2,8.7,3.2,1.1,0.4,0.2,1.7,43.5,85.3,0.9,4.6,36.3,3.2,7.3,0.6,0.7,0.0,0.0,2.3,15.0
T206,Draymond Green,GSW,C,56,27.3,8.7,7.2,6.0,1.0,0.8,0.9,49.7,73.7,2.5,2.4,39.8,3.4,6.8,1.0,1.4,0.2,0.0,3.0,29.5
T206,Derrick Jones,LAC,F,98,24.7,8.7,3.3,1.0,0.7,0.7,1.1,48.2,71.7,0.8,3.1,34.9,3.2,6.7,1.2,1.7,0.0,0.0,1.8,17.6
210,Gordon Hayward,FA,F,58,22.3,8.6,3.3,2.8,0.7,0.2,0.6,46.1,74.2,1.1,1.6,41.1,3.2,7.0,1.5,2.1,0.0,0.0,1.2,18.5
T211,Gradey Dick,TOR,F,60,21.2,8.5,2.2,1.1,0.6,0.0,1.5,42.5,86.3,0.8,4.0,36.5,3.2,7.4,0.7,0.9,0.0,0.0,1.5,13.8
T211,Dereck Lively,DAL,C,76,23.1,8.5,7.0,1.1,0.6,1.3,0.0,72.9,54.2,0.9,0.0,33.3,3.8,5.1,1.0,1.9,0.2,0.0,2.5,23.3
T211,Tristan Vukcevic,WAS,C,10,15.2,8.5,3.6,1.3,0.5,0.7,1.0,43.3,77.3,1.0,3.6,27.8,2.9,6.7,1.7,2.2,0.0,0.0,2.8,17.4
T211,Dorian Finney-Smith,BKN,F,68,28.4,8.5,4.7,1.6,0.8,0.6,1.7,42.1,71.7,0.9,4.9,34.8,3.2,7.5,0.5,0.7,0.0,0.0,2.2,19.8
T215,Bilal Coulibaly,WAS,F,63,27.3,8.4,4.1,1.7,0.9,0.8,1.0,43.5,70.2,1.4,2.9,34.6,3.0,6.9,1.5,2.1,0.0,0.0,2.2,19.6
T215,Kevin Love,MIA,C,62,15.9,8.4,5.8,1.9,0.3,0.2,1.4,44.1,80.8,0.8,4.1,34.9,2.7,6.1,1.6,1.9,0.1,0.0,1.6,18.9
T217,Sam Hauser,BOS,F,98,20.6,8.3,3.2,0.9,0.5,0.3,2.3,44.4,91.3,0.4,5.5,41.8,2.9,6.6,0.2,0.2,0.0,0.0,1.2,15.5
T217,Marcus Sasser,DET,G,71,19.0,8.3,1.8,3.3,0.6,0.2,1.3,42.8,87.9,1.3,3.4,37.5,3.1,7.2,0.8,0.9,0.0,0.0,1.5,16.5
T217,Andre Drummond,PHI,C,81,16.9,8.3,8.8,0.5,0.9,0.6,0.0,55.3,59.2,1.0,0.0,0.0,3.3,6.0,1.6,2.7,0.2,0.0,1.8,23.2
T220,Ziaire Williams,BKN,F,51,20.4,8.2,3.5,1.5,0.7,0.2,1.1,39.7,82.7,1.3,3.7,30.7,2.9,7.4,1.2,1.5,0.0,0.0,1.7,16.0
T220,Moses Moody,GSW,F,67,17.6,8.2,3.0,0.9,0.6,0.4,1.1,46.5,78.6,0.7,3.0,36.3,3.0,6.4,1.1,1.5,0.0,0.0,1.4,15.4
222,Walker Kessler,UTA,C,64,23.3,8.1,7.5,0.9,0.5,2.4,0.1,65.4,60.2,1.0,0.3,21.1,3.6,5.5,0.9,1.5,0.1,0.0,2.1,26.1
T223,Isaiah Joe,OKC,G,88,18.4,8.0,2.3,1.2,0.6,0.3,1.9,45.6,86.5,0.6,4.5,41.6,2.8,6.1,0.5,0.6,0.0,0.0,1.1,14.5
T223,Dario Saric,DEN,C,64,17.2,8.0,4.4,2.3,0.5,0.2,1.2,46.6,84.9,1.2,3.1,37.6,2.8,6.1,1.2,1.5,0.0,0.0,1.8,17.4
T223,Kyle Lowry,PHI,G,67,28.3,8.0,3.3,4.1,1.0,0.4,1.6,42.2,83.3,1.4,4.2,38.4,2.6,6.3,1.1,1.3,0.0,0.0,2.6,20.9
T223,Derrick Rose,FA,G,24,16.6,8.0,1.9,3.3,0.3,0.1,0.6,46.1,88.9,1.3,1.7,36.6,3.2,6.9,1.0,1.1,0.0,0.0,0.9,15.0
T227,Isaiah Hartenstein,OKC,C,88,26.0,7.9,8.3,2.7,1.0,1.1,0.0,63.5,72.6,1.3,0.1,40.0,3.2,5.0,1.5,2.0,0.1,0.0,2.9,26.9
T227,Nickeil Alexander-Walker,MIN,G,98,23.5,7.9,2.0,2.5,0.8,0.5,1.6,42.6,82.7,0.9,4.2,37.3,2.8,6.6,0.6,0.8,0.0,0.0,1.7,16.8
T227,Trayce Jackson-Davis,GSW,C,69,16.6,7.9,5.0,1.2,0.4,1.1,0.0,70.3,56.1,0.7,0.0,0.0,3.4,4.8,1.1,1.9,0.1,0.0,1.6,19.4
T230,Nikola Jovic,MIA,F,53,20.1,7.7,4.5,1.9,0.6,0.3,1.4,45.2,72.2,1.0,3.6,40.0,2.8,6.1,0.7,1.0,0.0,0.0,1.8,17.7
T230,RaiQuan Gray,FA,F,3,13.3,7.7,2.3,2.0,0.3,0.3,1.0,58.8,0.0,0.3,2.3,42.9,3.3,5.7,0.0,0.0,0.0,0.0,0.0,15.1
T232,Royce O'Neale,PHO,F,83,24.8,7.6,4.8,2.7,0.7,0.5,2.0,39.4,68.6,0.9,5.3,36.8,2.7,6.8,0.3,0.4,0.1,0.0,2.2,20.2
T232,Markelle Fultz,FA,G,50,20.3,7.6,3.0,2.6,0.9,0.3,0.1,48.3,66.7,1.2,0.4,21.1,3.5,7.2,0.6,0.8,0.0,0.0,1.5,17.5
T234,Cody Martin,CHA,G,28,26.9,7.5,3.9,3.7,1.1,0.6,1.0,38.1,60.6,1.6,3.1,31.4,2.9,7.7,0.7,1.2,0.0,0.0,1.7,21.6
T234,Brice Sensabaugh,UTA,F,32,18.3,7.5,3.2,1.7,0.4,0.2,1.1,39.0,90.2,1.5,3.6,29.6,2.7,6.8,1.2,1.3,0.0,0.0,1.3,14.2
T234,Jordan Hawkins,NOP,G,70,16.7,7.5,2.1,1.0,0.3,0.1,1.6,37.8,83.8,0.6,4.3,36.2,2.5,6.6,1.0,1.1,0.0,0.0,1.0,12.1
T234,Toumani Camara,POR,F,70,24.8,7.5,4.9,1.2,0.9,0.5,0.8,45.0,75.8,1.2,2.5,33.7,2.8,6.3,1.1,1.4,0.0,0.0,2.5,18.3
238,Precious Achiuwa,NYK,C,83,21.8,7.4,6.3,1.2,0.6,1.0,0.3,50.0,59.2,1.0,1.2,26.0,3.1,6.2,0.9,1.5,0.1,0.0,2.0,20.5
T239,Cameron Payne,NYK,G,84,16.3,7.3,1.5,2.5,0.5,0.2,1.3,43.2,86.6,0.8,3.4,39.5,2.6,6.0,0.7,0.8,0.0,0.0,1.6,14.0
T239,Josh Green,CHA,F,79,24.1,7.3,3.0,1.9,0.8,0.2,1.2,46.8,69.7,0.8,3.1,38.6,2.7,5.8,0.7,1.0,0.0,0.0,1.7,15.9
T239,Taylor Hendricks,UTA,F,40,21.4,7.3,4.6,0.8,0.7,0.8,1.3,45.0,79.3,0.7,3.5,37.9,2.7,6.0,0.6,0.7,0.0,0.0,1.9,17.7
T239,Sam Merrill,CLE,G,71,16.8,7.3,1.9,1.6,0.3,0.1,2.2,39.8,93.5,0.3,5.4,40.2,2.4,5.9,0.4,0.4,0.0,0.0,1.1,12.7
T243,Naji Marshall,DAL,F,71,19.2,7.2,3.6,1.9,0.7,0.2,0.9,46.1,80.4,0.9,2.4,38.5,2.6,5.7,1.0,1.3,0.0,0.0,1.4,16.4
T243,Johnny Juzang,UTA,G,20,18.6,7.2,1.8,1.2,0.2,0.1,1.6,46.4,71.4,0.7,3.9,41.6,2.6,5.5,0.5,0.7,0.0,0.0,1.5,11.3
T243,Lamar Stevens,FA,F,38,14.7,7.2,3.3,0.7,0.6,0.6,0.4,45.0,77.8,0.6,1.2,30.4,2.8,6.3,1.1,1.4,0.0,0.0,1.2,15.2
T243,Kevin Knox,FA,F,31,18.1,7.2,2.4,0.7,0.4,0.2,1.0,46.2,90.9,0.7,3.0,33.0,2.8,6.0,0.6,0.7,0.0,0.0,1.6,12.4
T247,Landry Shamet,FA,G,46,15.8,7.1,1.3,1.2,0.5,0.2,1.2,43.1,82.6,0.7,3.4,33.8,2.6,6.0,0.8,1.0,0.0,0.0,1.7,12.1
T247,James Wiseman,IND,C,63,17.3,7.1,5.3,0.9,0.2,0.6,0.0,61.3,70.6,1.0,0.0,0.0,3.0,4.8,1.1,1.6,0.1,0.0,2.2,16.1
T247,Trey Lyles,SAC,F,60,19.8,7.1,4.4,1.2,0.3,0.3,1.4,44.2,70.8,0.7,3.7,38.3,2.4,5.5,0.9,1.2,0.0,0.0,1.5,15.4
T250,Vasilije Micic,CHA,G,60,19.6,7.0,1.5,4.4,0.5,0.1,0.7,43.0,81.3,1.7,2.6,27.9,2.7,6.2,1.0,1.3,0.1,0.0,1.1,15.6
T250,Christian Braun,DEN,G,94,19.8,7.0,3.6,1.5,0.5,0.4,0.7,45.6,69.3,0.6,1.9,36.8,2.6,5.7,1.1,1.6,0.0,0.0,1.6,15.7
T250,Quentin Grimes,DAL,G,51,20.1,7.0,2.0,1.3,0.7,0.1,1.6,37.2,75.6,0.5,4.7,33.8,2.4,6.4,0.7,0.9,0.0,0.0,1.5,13.3
T250,Jordan Nwora,FA,F,52,13.6,7.0,2.9,1.2,0.5,0.3,0.8,46.2,83.0,1.0,2.5,33.6,2.7,5.8,0.8,1.0,0.0,0.0,0.9,13.5
T250,Javon Freeman-Liberty,FA,G,22,18.3,7.0,3.2,1.8,0.5,0.2,0.5,44.4,91.7,1.1,1.9,23.8,2.5,5.6,1.5,1.6,0.0,0.0,1.3,14.3
T255,Killian Hayes,FA,G,42,24.0,6.9,2.8,4.9,0.9,0.5,0.5,41.3,66.0,1.2,1.8,29.7,2.8,6.7,0.8,1.2,0.0,0.0,1.8,20.4
T255,Maozinha Pereira,FA,F,7,17.3,6.9,5.3,0.3,0.9,0.6,0.7,51.4,70.0,0.7,1.9,38.5,2.6,5.0,1.0,1.4,0.1,0.0,1.4,17.2
T255,Christian Wood,LAL,C,50,17.4,6.9,5.1,1.0,0.3,0.7,0.7,46.6,70.2,1.0,2.3,30.7,2.5,5.3,1.3,1.9,0.0,0.0,1.4,16.4
T255,Evan Fournier,FA,G,32,18.3,6.9,1.8,1.5,0.9,0.2,1.0,35.7,80.6,0.7,4.1,25.4,2.5,6.9,0.9,1.1,0.0,0.0,1.5,14.0
T255,Aaron Wiggins,OKC,F,88,15.7,6.9,2.5,1.1,0.7,0.3,0.8,55.4,80.5,0.7,1.7,46.6,2.7,4.8,0.8,0.9,0.0,0.0,1.1,13.6
T255,Trendon Watford,BKN,F,63,13.6,6.9,3.1,1.3,0.4,0.3,0.4,52.7,79.4,1.0,1.1,39.7,2.6,4.9,1.2,1.5,0.0,0.0,1.7,13.5
T255,Paul Reed,DET,C,89,18.5,6.9,5.7,1.2,0.8,1.0,0.2,54.1,71.3,0.8,0.6,36.8,3.0,5.5,0.7,1.0,0.1,0.0,2.3,20.1
T262,Robert Williams,POR,C,6,19.8,6.8,6.3,0.8,1.2,1.2,0.0,65.4,77.8,1.2,0.0,0.0,2.8,4.3,1.2,1.5,0.0,0.0,2.8,21.5
T262,Julian Champagnie,SAS,F,74,19.9,6.8,2.8,1.4,0.6,0.6,1.4,40.8,81.5,0.8,3.7,36.5,2.2,5.4,1.0,1.2,0.0,0.0,1.0,15.1
T262,Day'Ron Sharpe,BKN,C,61,15.1,6.8,6.4,1.4,0.4,0.7,0.1,57.1,61.0,1.1,0.2,26.7,2.8,4.8,1.2,2.0,0.1,0.0,2.1,18.7
T262,Cedi Osman,FA,F,72,17.6,6.8,2.5,1.7,0.5,0.2,1.2,47.9,67.3,0.7,3.1,38.9,2.6,5.3,0.5,0.7,0.0,0.0,1.5,13.6
T262,Trey Jemison,NOP,C,25,22.9,6.8,5.4,1.1,0.5,1.1,0.0,55.1,84.0,1.4,0.0,0.0,3.0,5.4,0.8,1.0,0.0,0.0,2.8,18.3
T262,Jose Alvarado,NOP,G,62,18.4,6.8,2.2,2.2,1.1,0.3,1.3,40.3,67.9,0.7,3.7,36.1,2.5,6.1,0.6,0.9,0.0,0.0,1.5,16.1
T268,Jonathan Isaac,ORL,F,65,16.4,6.7,4.5,0.5,0.7,1.2,0.8,49.8,72.6,0.5,2.1,37.4,2.5,5.0,0.9,1.3,0.0,0.0,1.1,18.3
T268,Davis Bertans,FA,F,43,15.7,6.7,1.4,0.8,0.6,0.3,1.8,39.3,90.9,0.4,4.7,38.0,2.1,5.4,0.7,0.8,0.0,0.0,1.3,11.9
T268,Jahmi'us Ramsey,FA,G,7,17.1,6.7,3.1,1.1,1.0,0.0,0.9,43.9,83.3,1.0,3.1,27.3,2.6,5.9,0.7,0.9,0.0,0.0,1.4,14.2
T268,Bones Hyland,LAC,G,40,13.8,6.7,1.4,2.4,0.7,0.1,1.1,38.8,81.5,1.1,3.5,32.1,2.5,6.5,0.6,0.7,0.0,0.0,1.3,13.1
T272,Aaron Holiday,HOU,G,78,16.3,6.6,1.6,1.8,0.5,0.1,1.1,44.6,92.1,0.7,2.8,38.7,2.4,5.3,0.7,0.8,0.0,0.0,1.6,12.3
T272,Gary Harris,ORL,G,60,24.2,6.6,1.7,1.5,0.9,0.3,1.4,42.8,76.6,0.6,3.8,36.6,2.3,5.4,0.6,0.8,0.0,0.0,1.8,14.1
T272,Dennis Smith,FA,G,56,18.9,6.6,2.9,3.6,1.2,0.2,0.6,43.5,74.1,1.2,1.9,29.4,2.6,6.0,0.8,1.0,0.1,0.0,2.2,18.6
T272,Cason Wallace,OKC,G,92,20.6,6.6,2.2,1.4,0.9,0.4,1.2,48.2,76.9,0.5,2.8,40.8,2.5,5.3,0.3,0.4,0.0,0.0,1.6,14.8
T272,Jaden Hardy,DAL,G,92,12.2,6.6,1.6,1.4,0.3,0.0,1.0,41.0,76.9,0.8,2.7,36.7,2.4,5.9,0.8,1.0,0.0,0.0,1.0,10.8
T277,Jordan Goodwin,FA,G,57,18.5,6.5,4.4,2.7,0.8,0.3,0.7,36.9,74.6,1.0,2.5,29.8,2.5,6.7,0.8,1.0,0.1,0.0,1.3,18.4
T277,Jeff Green,HOU,F,78,16.7,6.5,2.3,0.9,0.2,0.4,0.7,45.6,81.9,0.6,2.1,33.1,2.1,4.7,1.6,1.9,0.0,0.0,1.3,11.8
T277,David Duke,SAS,G,4,12.8,6.5,2.5,1.3,0.5,0.0,0.8,55.6,100.0,0.8,1.5,50.0,2.5,4.5,0.8,0.8,0.0,0.0,1.0,12.1
